"0x80c479","Tile","Plains","Road","Village Entrance","Village Entrance (Closed)","House","Armory","Vendor","Arena 1","Unknown","Fort","Gate (Normal)","Forest","Thicket","Sand","Desert","River","Mountain","Peak","Bridge","Bridge (Unused?)","Sea","Lake","Floor","Floor (Unused)","Fence 1","Wall","Cracked Wall","Rubble (Unused?)","Pillar","Door","Throne","Chest (Unused?)","Chest","Roof","Gate (Castle)","Church (Unused)","Ruins 1","Cliff","Ballista (Unused)","Long Ballista (Unused)","Killer Ballista (Unused)","Flat (Volcano zones)","Wreck (Unused?)","Building 1 (Jehanna)","Stairs","Building 2 (Village, Vendor, etc)","Glacier (Unused)","Arena (For Arena fights?)","Valley","Fence 2","Snag (Do not edit, causes glitches)","Snag Bridge (Do not edit, causes glitches)","Sky (Unused)","Deeps","Ruins 2 (Unused?)","Inn","Barrel","Bone","Dark (Final Chapter)","Water","Gunnels","Deck","Brace","Mast"
"0x880C479 Ground avoid","0","0","0","10","10","10","10","10","10","10","20","20","20","30","5","5","0","30","40","0","0","10","10","0","0","20","20","0","5","20","0","30","0","0","0","30","15","0","0","5","5","5","0","0","0","0","0","0","0","20","20","0","0","0","0","10","10","0","0","0","10","0","0","20","20"
"0x880C4BA Ground defence","0","0","0","0","0","0","0","0","0","0","2","3","1","2","0","0","0","1","2","0","0","0","0","0","0","1","1","0","0","1","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"0x880C4FB Ground resistance","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x880C53C Flier avoid","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x880C57D Flier defence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x880C5BE Flier resistance","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x880C5FF Unknown 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x880C640 Unknown 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"0x880C681 Unknown 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"0x880C6C2 Unknown 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x880C703 Unknown 5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x880C744 Health Regen (%)","0","0","0","0","0","0","0","0","0","0","20","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x880C785 Unknown 6 (Status Recovery?)","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
